type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.terminal,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.terminal,departure.gate,error
departure,active,hah,fmch,2023-11-05t14:00:00.000,nbo,hkjk,2023-11-05t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-05t13:45:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-05t14:00:00.000,nbo,hkjk,2023-11-05t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,2023-11-05t13:45:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-05t15:45:00.000,dar,htda,2023-11-05t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,2023-11-05t16:20:00.000,3,35.0,,,,,,,
departure,active,hah,fmch,2023-11-06t08:30:00.000,ajn,fmcv,2023-11-06t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-06t13:15:00.000,nwa,fmci,2023-11-06t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-06t15:45:00.000,dar,htda,2023-11-06t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-06t16:02:00.000,2023-11-06t16:02:00.000,2023-11-06t16:02:00.000,2023-11-06t17:06:00.000,,,,,,,,3,17.0,,,,2.0,,,
departure,active,hah,fmch,2023-11-07t02:15:00.000,nbo,hkjk,2023-11-07t04:45:00.000,klm,kl,klm,4219,kl4219,klm4219,2023-11-07t02:07:00.000,2023-11-07t02:07:00.000,2023-11-07t02:07:00.000,2023-11-07t03:59:00.000,kenya airways,kq,kqa,267,kq267,kqa267,2023-11-07t02:15:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-07t02:15:00.000,nbo,hkjk,2023-11-07t04:45:00.000,kenya airways,kq,kqa,267,kq267,kqa267,2023-11-07t02:07:00.000,2023-11-07t02:07:00.000,2023-11-07t02:07:00.000,2023-11-07t03:59:00.000,,,,,,,2023-11-07t02:15:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-07t10:00:00.000,nwa,fmci,2023-11-07t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-07t12:30:00.000,dza,fmcz,2023-11-07t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-11-07t12:30:00.000,dza,fmcz,2023-11-07t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-07t13:10:00.000,dar,htda,2023-11-07t14:25:00.000,,h1,h1,3688,h13688,h13688,,,,,air tanzania,tc,atc,211,tc211,atc211,2023-11-07t13:10:00.000,2,,,,,,,,
departure,active,hah,fmch,2023-11-07t13:10:00.000,dar,htda,2023-11-07t14:25:00.000,air tanzania,tc,atc,211,tc211,atc211,,,,,,,,,,,2023-11-07t13:10:00.000,2,,,,,,,,
departure,active,hah,fmch,2023-11-07t14:00:00.000,nbo,hkjk,2023-11-07t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-07t14:50:00.000,1a,50.0,,,,,,,
departure,active,hah,fmch,2023-11-07t14:00:00.000,nbo,hkjk,2023-11-07t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-07t14:50:00.000,1a,50.0,,,,,,,
departure,active,hah,fmch,2023-11-07t14:00:00.000,nbo,hkjk,2023-11-07t16:10:00.000,etihad airways,ey,etd,4100,ey4100,etd4100,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-07t14:50:00.000,1a,50.0,,,,,,,
departure,active,hah,fmch,2023-11-07t14:00:00.000,nbo,hkjk,2023-11-07t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,2023-11-07t14:50:00.000,1a,50.0,,,,,,,
departure,active,hah,fmch,2023-11-07t15:45:00.000,dar,htda,2023-11-07t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-07t16:11:00.000,2023-11-07t16:11:00.000,2023-11-07t16:11:00.000,2023-11-07t17:13:00.000,,,,,,,,3,26.0,,,,8.0,,,
departure,active,hah,fmch,2023-11-08t08:30:00.000,ajn,fmcv,2023-11-08t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-08t12:30:00.000,dza,fmcz,2023-11-08t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-11-08t12:09:00.000,2023-11-08t12:09:00.000,2023-11-08t12:09:00.000,,ewa air,zd,ewr,303,zd303,ewr303,,,,2023-11-08t12:54:00.000,2023-11-08t12:54:00.000,2023-11-08t12:54:00.000,,,,
departure,active,hah,fmch,2023-11-08t12:30:00.000,dza,fmcz,2023-11-08t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-11-08t12:09:00.000,2023-11-08t12:09:00.000,2023-11-08t12:09:00.000,,,,,,,,,,,2023-11-08t12:54:00.000,2023-11-08t12:54:00.000,2023-11-08t12:54:00.000,,,,
departure,active,hah,fmch,2023-11-08t13:15:00.000,nwa,fmci,2023-11-08t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-08t14:00:00.000,nbo,hkjk,2023-11-08t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t15:45:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-08t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-08t14:00:00.000,nbo,hkjk,2023-11-08t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t15:45:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-08t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-08t14:00:00.000,nbo,hkjk,2023-11-08t16:10:00.000,etihad airways,ey,etd,4100,ey4100,etd4100,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t15:45:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-08t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-08t14:00:00.000,nbo,hkjk,2023-11-08t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t13:55:00.000,2023-11-08t15:45:00.000,,,,,,,2023-11-08t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-08t14:25:00.000,dza,fmcz,2023-11-08t15:10:00.000,air france,af,afr,3259,af3259,afr3259,2023-11-08t14:34:00.000,2023-11-08t14:34:00.000,2023-11-08t14:34:00.000,2023-11-08t15:12:00.000,air austral,uu,reu,275,uu275,reu275,,,9.0,,,,2.0,,,
departure,active,hah,fmch,2023-11-08t14:25:00.000,dza,fmcz,2023-11-08t15:10:00.000,air austral,uu,reu,275,uu275,reu275,2023-11-08t14:34:00.000,2023-11-08t14:34:00.000,2023-11-08t14:34:00.000,2023-11-08t15:12:00.000,,,,,,,,,9.0,,,,2.0,,,
departure,active,hah,fmch,2023-11-08t15:45:00.000,dar,htda,2023-11-08t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-08t15:54:00.000,2023-11-08t15:54:00.000,2023-11-08t15:54:00.000,2023-11-08t16:53:00.000,,,,,,,,3,10.0,,,,,,,
departure,active,hah,fmch,2023-11-08t16:30:00.000,ajn,fmcv,2023-11-08t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-09t08:30:00.000,ajn,fmcv,2023-11-09t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-09t13:10:00.000,dar,htda,2023-11-09t14:25:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-11-09t12:55:00.000,2023-11-09t12:55:00.000,2023-11-09t12:55:00.000,2023-11-09t14:04:00.000,,,,,,,,2,,,,,,,,
