type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.terminal,departure.delay,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.gate,error
arrival,landed,nbo,hkjk,2023-11-06t22:45:00.000,hah,fmch,2023-11-07t01:15:00.000,kenya airways,kq,kqa,266,kq266,kqa266,,,,,,,1a,24.0,2023-11-06t22:45:00.000,2023-11-06t23:08:00.000,2023-11-06t23:08:00.000,2023-11-06t23:08:00.000,2023-11-07t01:02:00.000,2023-11-07t01:09:00.000,2023-11-07t01:09:00.000,2023-11-07t01:09:00.000,,,
arrival,unknown,nwa,fmci,2023-11-07t09:00:00.000,hah,fmch,2023-11-07t09:30:00.000,empty,,,522,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,dza,fmcz,2023-11-07t10:15:00.000,hah,fmch,2023-11-07t11:15:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,
arrival,unknown,dza,fmcz,2023-11-07t10:15:00.000,hah,fmch,2023-11-07t11:15:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,,,,,,,
arrival,landed,dar,htda,2023-11-07t11:00:00.000,hah,fmch,2023-11-07t12:15:00.000,,h1,h1,3656,h13656,h13656,air tanzania,tc,atc,210,tc210,atc210,3,20.0,,2023-11-07t11:19:00.000,2023-11-07t11:19:00.000,2023-11-07t11:19:00.000,2023-11-07t12:21:00.000,2023-11-07t12:26:00.000,2023-11-07t12:26:00.000,2023-11-07t12:26:00.000,12.0,,
arrival,landed,dar,htda,2023-11-07t11:00:00.000,hah,fmch,2023-11-07t12:15:00.000,air tanzania,tc,atc,210,tc210,atc210,,,,,,,3,20.0,,2023-11-07t11:19:00.000,2023-11-07t11:19:00.000,2023-11-07t11:19:00.000,2023-11-07t12:21:00.000,2023-11-07t12:26:00.000,2023-11-07t12:26:00.000,2023-11-07t12:26:00.000,12.0,,
arrival,landed,nbo,hkjk,2023-11-07t10:30:00.000,hah,fmch,2023-11-07t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,81.0,2023-11-07t11:40:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t13:46:00.000,,,,46.0,,
arrival,landed,nbo,hkjk,2023-11-07t10:30:00.000,hah,fmch,2023-11-07t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,81.0,2023-11-07t11:40:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t13:46:00.000,,,,46.0,,
arrival,landed,nbo,hkjk,2023-11-07t10:30:00.000,hah,fmch,2023-11-07t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,81.0,2023-11-07t11:40:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t11:51:00.000,2023-11-07t13:46:00.000,,,,46.0,,
arrival,landed,dar,htda,2023-11-07t13:25:00.000,hah,fmch,2023-11-07t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,18.0,,2023-11-07t13:42:00.000,2023-11-07t13:42:00.000,2023-11-07t13:42:00.000,2023-11-07t14:48:00.000,2023-11-07t14:46:00.000,2023-11-07t14:46:00.000,2023-11-07t14:46:00.000,1.0,c5,
arrival,unknown,ajn,fmcv,2023-11-08t07:30:00.000,hah,fmch,2023-11-08t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,ajn,fmcv,2023-11-08t15:30:00.000,hah,fmch,2023-11-08t16:00:00.000,empty,,,508,,,,,,,,,,,,,,,,,,,,,
arrival,landed,dza,fmcz,2023-11-08t10:15:00.000,hah,fmch,2023-11-08t11:15:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,1.0,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,,2023-11-08t11:02:00.000,2023-11-08t11:02:00.000,2023-11-08t11:02:00.000,,,
arrival,landed,dza,fmcz,2023-11-08t10:15:00.000,hah,fmch,2023-11-08t11:15:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,1.0,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,2023-11-08t10:15:00.000,,2023-11-08t11:02:00.000,2023-11-08t11:02:00.000,2023-11-08t11:02:00.000,,,
arrival,unknown,nwa,fmci,2023-11-08t12:20:00.000,hah,fmch,2023-11-08t12:45:00.000,empty,,,311,,,,,,,,,,,,,,,,,,,,,
arrival,landed,nbo,hkjk,2023-11-08t10:30:00.000,hah,fmch,2023-11-08t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,22.0,2023-11-08t10:30:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t12:42:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,,,
arrival,landed,nbo,hkjk,2023-11-08t10:30:00.000,hah,fmch,2023-11-08t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,22.0,2023-11-08t10:30:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t12:42:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,,,
arrival,landed,nbo,hkjk,2023-11-08t10:30:00.000,hah,fmch,2023-11-08t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,22.0,2023-11-08t10:30:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t10:52:00.000,2023-11-08t12:42:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,2023-11-08t12:46:00.000,,,
arrival,landed,dza,fmcz,2023-11-08t12:15:00.000,hah,fmch,2023-11-08t13:00:00.000,air france,af,afr,3253,af3253,afr3253,air austral,uu,reu,274,uu274,reu274,,10.0,,2023-11-08t12:24:00.000,2023-11-08t12:24:00.000,2023-11-08t12:24:00.000,,2023-11-08t13:00:00.000,2023-11-08t13:00:00.000,2023-11-08t13:00:00.000,1.0,,
arrival,landed,dza,fmcz,2023-11-08t12:15:00.000,hah,fmch,2023-11-08t13:00:00.000,air austral,uu,reu,274,uu274,reu274,,,,,,,,10.0,,2023-11-08t12:24:00.000,2023-11-08t12:24:00.000,2023-11-08t12:24:00.000,,2023-11-08t13:00:00.000,2023-11-08t13:00:00.000,2023-11-08t13:00:00.000,1.0,,
arrival,landed,dar,htda,2023-11-08t13:25:00.000,hah,fmch,2023-11-08t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,9.0,,2023-11-08t13:33:00.000,2023-11-08t13:33:00.000,2023-11-08t13:33:00.000,2023-11-08t14:37:00.000,2023-11-08t14:44:00.000,2023-11-08t14:44:00.000,2023-11-08t14:44:00.000,,c5,
arrival,unknown,ajn,fmcv,2023-11-09t07:30:00.000,hah,fmch,2023-11-09t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,landed,dar,htda,2023-11-09t11:00:00.000,hah,fmch,2023-11-09t12:15:00.000,,h1,h1,3656,h13656,h13656,air tanzania,tc,atc,210,tc210,atc210,3,10.0,2023-11-09t11:00:00.000,2023-11-09t11:10:00.000,2023-11-09t11:10:00.000,2023-11-09t11:10:00.000,2023-11-09t12:12:00.000,2023-11-09t12:11:00.000,2023-11-09t12:11:00.000,2023-11-09t12:11:00.000,,,
arrival,landed,dar,htda,2023-11-09t11:00:00.000,hah,fmch,2023-11-09t12:15:00.000,air tanzania,tc,atc,210,tc210,atc210,,,,,,,3,10.0,2023-11-09t11:00:00.000,2023-11-09t11:10:00.000,2023-11-09t11:10:00.000,2023-11-09t11:10:00.000,2023-11-09t12:12:00.000,2023-11-09t12:11:00.000,2023-11-09t12:11:00.000,2023-11-09t12:11:00.000,,,
arrival,landed,dar,htda,2023-11-09t13:25:00.000,hah,fmch,2023-11-09t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,,,2023-11-09t13:24:00.000,2023-11-09t13:24:00.000,2023-11-09t13:24:00.000,2023-11-09t14:29:00.000,2023-11-09t14:29:00.000,2023-11-09t14:29:00.000,2023-11-09t14:29:00.000,,c2,
arrival,unknown,dza,fmcz,2023-11-09t13:45:00.000,hah,fmch,2023-11-09t14:45:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,
arrival,unknown,dza,fmcz,2023-11-09t13:45:00.000,hah,fmch,2023-11-09t14:45:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,,,,,,,
arrival,unknown,dar,htda,2023-11-10t05:25:00.000,hah,fmch,2023-11-10t06:35:00.000,etihad airways,ey,etd,4954,ey4954,etd4954,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,,
arrival,unknown,dar,htda,2023-11-10t05:25:00.000,hah,fmch,2023-11-10t06:35:00.000,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,,,,,,,,
arrival,unknown,ajn,fmcv,2023-11-10t07:30:00.000,hah,fmch,2023-11-10t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,nwa,fmci,2023-11-10t12:20:00.000,hah,fmch,2023-11-10t12:45:00.000,empty,,,311,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,nbo,hkjk,2023-11-10t10:30:00.000,hah,fmch,2023-11-10t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,3.0,2023-11-10t10:33:00.000,,,,,,,,,,
arrival,unknown,nbo,hkjk,2023-11-10t10:30:00.000,hah,fmch,2023-11-10t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,3.0,2023-11-10t10:33:00.000,,,,,,,,,,
arrival,unknown,nbo,hkjk,2023-11-10t10:30:00.000,hah,fmch,2023-11-10t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,3.0,2023-11-10t10:33:00.000,,,,,,,,,,
