type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,active,vca,vvct,2023-11-02t11:35:00.000,,,,dad,vvdn,1,2023-11-02t13:05:00.000,,,h1,h1,4348,h14348,h14348,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-02t11:35:00.000,,,,dad,vvdn,1,2023-11-02t13:05:00.000,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t12:35:00.000,,,,pqc,vvpq,,2023-11-02t13:25:00.000,,bamboo airways,qh,bav,2181,qh2181,bav2181,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t13:20:00.000,,,,dad,vvdn,1,2023-11-02t14:50:00.000,,vietnam airlines,vn,hvn,1440,vn1440,hvn1440,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t14:10:00.000,,,,hph,vvci,,2023-11-02t16:15:00.000,,,a1,a1,2488,a12488,a12488,,vietjet air,vj,vjc,488,vj488,vjc488,,,,,,,,
departure,active,vca,vvct,2023-11-02t14:10:00.000,,,,hph,vvci,,2023-11-02t16:15:00.000,,flexflight,w2,fxt,4488,w24488,fxt4488,,vietjet air,vj,vjc,488,vj488,vjc488,,,,,,,,
departure,active,vca,vvct,2023-11-02t14:10:00.000,,,,hph,vvci,,2023-11-02t16:15:00.000,,,h1,h1,4388,h14388,h14388,,vietjet air,vj,vjc,488,vj488,vjc488,,,,,,,,
departure,active,vca,vvct,2023-11-02t14:10:00.000,,,,hph,vvci,,2023-11-02t16:15:00.000,,vietjet air,vj,vjc,488,vj488,vjc488,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t14:15:00.000,2023-11-02t14:21:00.000,2023-11-02t14:21:00.000,2023-11-02t14:21:00.000,han,vvnb,t1,2023-11-02t16:20:00.000,,vietnam airlines,vn,hvn,1202,vn1202,hvn1202,7.0,,,,,,,,,,,,,,
departure,unknown,vca,vvct,2023-11-02t14:20:00.000,,,,vcs,vvcs,,2023-11-02t15:20:00.000,,vietnam airlines,vn,hvn,8070,vn8070,hvn8070,,,,,,,,,,,,,,,
