type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay,departure.estimatedTime,departure.gate,error
arrival,landed,han,vvnb,t1,20.0,2023-11-02t08:45:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,vca,vvct,2023-11-02t10:50:00.000,2023-11-02t10:55:00.000,,,,vietjet air,vj,vjc,461,vj461,vjc461,,,,,,,6.0,,,
arrival,unknown,pqc,vvpq,,,2023-11-02t11:10:00.000,,,,vca,vvct,2023-11-02t12:00:00.000,,,,,bamboo airways,qh,bav,2182,qh2182,bav2182,,,,,,,,,,
arrival,unknown,dad,vvdn,1,,2023-11-02t11:00:00.000,,,,vca,vvct,2023-11-02t12:40:00.000,,,,,vietnam airlines,vn,hvn,1441,vn1441,hvn1441,,,,,,,,,,
arrival,landed,han,vvnb,t1,14.0,2023-11-02t11:15:00.000,2023-11-02t11:28:00.000,2023-11-02t11:28:00.000,2023-11-02t11:28:00.000,vca,vvct,2023-11-02t13:30:00.000,2023-11-02t13:19:00.000,2023-11-02t13:21:00.000,2023-11-02t13:21:00.000,2023-11-02t13:21:00.000,vietnam airlines,vn,hvn,1203,vn1203,hvn1203,,,,,,,,,,
arrival,landed,hph,vvci,,9.0,2023-11-02t11:30:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,vca,vvct,2023-11-02t13:35:00.000,2023-11-02t13:24:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,,a1,a1,2489,a12489,a12489,vietjet air,vj,vjc,489,vj489,vjc489,,,,
arrival,landed,hph,vvci,,9.0,2023-11-02t11:30:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,vca,vvct,2023-11-02t13:35:00.000,2023-11-02t13:24:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,flexflight,w2,fxt,4489,w24489,fxt4489,vietjet air,vj,vjc,489,vj489,vjc489,,,,
arrival,landed,hph,vvci,,9.0,2023-11-02t11:30:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,vca,vvct,2023-11-02t13:35:00.000,2023-11-02t13:24:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,,h1,h1,4541,h14541,h14541,vietjet air,vj,vjc,489,vj489,vjc489,,,,
arrival,landed,hph,vvci,,9.0,2023-11-02t11:30:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,2023-11-02t11:38:00.000,vca,vvct,2023-11-02t13:35:00.000,2023-11-02t13:24:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,2023-11-02t13:30:00.000,vietjet air,vj,vjc,489,vj489,vjc489,,,,,,,,,,
arrival,landed,vcs,vvcs,,79.0,2023-11-02t12:50:00.000,2023-11-02t14:09:00.000,2023-11-02t14:09:00.000,2023-11-02t14:09:00.000,vca,vvct,2023-11-02t13:50:00.000,2023-11-02t14:47:00.000,,,,vasco,0v,vfc,8071,0v8071,vfc8071,,,,,,,57.0,,,
arrival,landed,dad,vvdn,1,26.0,2023-11-02t13:45:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,vca,vvct,2023-11-02t15:15:00.000,2023-11-02t15:22:00.000,,,,,a1,a1,2703,a12703,a12703,vietjet air,vj,vjc,703,vj703,vjc703,8.0,,,
arrival,landed,dad,vvdn,1,26.0,2023-11-02t13:45:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,vca,vvct,2023-11-02t15:15:00.000,2023-11-02t15:22:00.000,,,,flexflight,w2,fxt,4703,w24703,fxt4703,vietjet air,vj,vjc,703,vj703,vjc703,8.0,,,
arrival,landed,dad,vvdn,1,26.0,2023-11-02t13:45:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,vca,vvct,2023-11-02t15:15:00.000,2023-11-02t15:22:00.000,,,,,h1,h1,4405,h14405,h14405,vietjet air,vj,vjc,703,vj703,vjc703,8.0,,,
arrival,landed,dad,vvdn,1,26.0,2023-11-02t13:45:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,2023-11-02t14:11:00.000,vca,vvct,2023-11-02t15:15:00.000,2023-11-02t15:22:00.000,,,,vietjet air,vj,vjc,703,vj703,vjc703,,,,,,,8.0,,,
arrival,landed,han,vvnb,t1,17.0,2023-11-02t15:45:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,vca,vvct,2023-11-02t17:55:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,,a1,a1,2463,a12463,a12463,vietjet air,vj,vjc,463,vj463,vjc463,3.0,,,
arrival,landed,han,vvnb,t1,17.0,2023-11-02t15:45:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,vca,vvct,2023-11-02t17:55:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,flexflight,w2,fxt,4463,w24463,fxt4463,vietjet air,vj,vjc,463,vj463,vjc463,3.0,,,
arrival,landed,han,vvnb,t1,17.0,2023-11-02t15:45:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,vca,vvct,2023-11-02t17:55:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,,h1,h1,4238,h14238,h14238,vietjet air,vj,vjc,463,vj463,vjc463,3.0,,,
arrival,landed,han,vvnb,t1,17.0,2023-11-02t15:45:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,2023-11-02t16:01:00.000,vca,vvct,2023-11-02t17:55:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,2023-11-02t17:58:00.000,vietjet air,vj,vjc,463,vj463,vjc463,,,,,,,3.0,,,
arrival,landed,han,vvnb,t1,8.0,2023-11-02t16:45:00.000,2023-11-02t16:53:00.000,2023-11-02t16:53:00.000,2023-11-02t16:53:00.000,vca,vvct,2023-11-02t19:05:00.000,2023-11-02t18:44:00.000,2023-11-02t18:49:00.000,2023-11-02t18:49:00.000,2023-11-02t18:49:00.000,vietnam airlines,vn,hvn,1207,vn1207,hvn1207,,,,,,,,,,
